,BillionDollars,Quarter,NormalizedForecast,BillionDollars_m,NormalizedForecast_m,FormattedQuarter
0,333,Q1_23,,111.0,,2023-01-31
1,333,Q1_23,,111.0,,2023-02-28
2,333,Q1_23,,111.0,,2023-03-31
3,463,Q2_23,39.03903903903905,154.33,13.01,2023-04-30
4,463,Q2_23,39.03903903903905,154.33,13.01,2023-05-31
5,463,Q2_23,39.03903903903905,154.33,13.01,2023-06-30
6,444,Q3_23,-4.103671706263501,148.0,-1.37,2023-07-31
7,444,Q3_23,-4.103671706263501,148.0,-1.37,2023-08-31
8,444,Q3_23,-4.103671706263501,148.0,-1.37,2023-09-30
9,399,Q4_23,-10.135135135135132,133.0,-3.38,2023-10-31
10,399,Q4_23,-10.135135135135132,133.0,-3.38,2023-11-30
11,399,Q4_23,-10.135135135135132,133.0,-3.38,2023-12-31
12,422,Q1_24,5.7644110275689275,140.67,1.92,2024-01-31
13,422,Q1_24,5.7644110275689275,140.67,1.92,2024-02-29
14,422,Q1_24,5.7644110275689275,140.67,1.92,2024-03-31
15,517,Q2_24,22.51184834123223,172.33,7.5,2024-04-30
16,517,Q2_24,22.51184834123223,172.33,7.5,2024-05-31
17,517,Q2_24,22.51184834123223,172.33,7.5,2024-06-30
18,543,Q3_24,5.029013539651839,181.0,1.68,2024-07-31
19,543,Q3_24,5.029013539651839,181.0,1.68,2024-08-31
20,543,Q3_24,5.029013539651839,181.0,1.68,2024-09-30
21,519,Q4_24,-4.41988950276243,173.0,-1.47,2024-10-31
22,519,Q4_24,-4.41988950276243,173.0,-1.47,2024-11-30
23,519,Q4_24,-4.41988950276243,173.0,-1.47,2024-12-31
24,501,Q1_25,-3.4682080924855474,167.0,-1.16,2025-01-31
25,501,Q1_25,-3.4682080924855474,167.0,-1.16,2025-02-28
26,501,Q1_25,-3.4682080924855474,167.0,-1.16,2025-03-31
27,619,Q2_25,23.55289421157685,206.33,7.85,2025-04-30
28,619,Q2_25,23.55289421157685,206.33,7.85,2025-05-31
29,619,Q2_25,23.55289421157685,206.33,7.85,2025-06-30
30,620,Q3_25,0.1615508885298933,206.67,0.05,2025-07-31
31,620,Q3_25,0.1615508885298933,206.67,0.05,2025-08-31
32,620,Q3_25,0.1615508885298933,206.67,0.05,2025-09-30
33,598,Q4_25,-3.548387096774197,199.33,-1.18,2025-10-31
